ITEMID,DESCRIPTION,COMMODITYCODE,COST ,COSTUM
RWL0015,Stabilenhance TM OSR5 (BA001280),Oils,87.32,kg
RWL0016,Covi-OX T-90 Oil (Mixed Tocopherols),Oils,102.68,kg
RWL0017,Saw Palmetto 85% FFA (CO2 Ext) USP Oil,Oils,110,kg
RWL0018,Pumpkin Seed Oil (Cold Pressed) (01048B),Oils,9.5,kg
RWL0019,Evening Primrose Oil 9% GLA,Fat/Facid,26.2,kg
RWL0020,Vitamin E DL-A-Tocopherol Synthetic Oil,Oils,22,kg
RWL0023,Green Lipped Mussel Oil (Customer Supplied),CustOwned,0,kg
RWL0024,Pure Olive Oil,Oils,9.25,kg
RWL0026,Annatto Extract D.S. (00405),Color,41.81,kg
RWL0029,Covitol 1360(D-Alpha Tocopherol Acetate),,208.089,kg
RWL0030,"Safflower Oil, Organic",Oils,6.95,kg
RWL0034,Vitamin D3 Oil 1 M IU/G,Vitamin,123,kg
RWL0035,Omega Fish Oil 50/20,Oils,45.5,kg
RWL0036,Medium Chain Tryglycerides Oil,Oils,7.15,kg
RWL0037,Coconut Oil (Virgin Organic),Oils,4.25,kg
RWL0038,Tocomin Suprabio Palm Tocotrienol Oil 20%,Oils,230,kg
RWL0039,Vitamin A Palmintate Oil (1mm IU/G),Oils,68,kg
RWL0040,Tonalin FFA 80 (CLA 78-84) OIL,Oils,33,kg
RWL0044,Cod Liver Oil 2500/250,Oils,15.5,kg
RWL0045,Beta Carotene Oil 500m IU/GM,Vitamin,90,kg
RWL0052,COVI-OX T-70 Oil (Mixed Tocopherols) - Halal,Oils,165.53,kg
RWL0053,"GoldenOmega Omega-3-Acid Triglycerides TG3322 (EPA 288mg/g, DHA 200mg/g, Total Omega-3 600mg/g)",Fat/Facid,36,kg
RWL0060,Rice Bran Oil,Oils,6.38,kg
RWL0061,"Flax Seed Oil, Organic",Oils,5.6,kg
RWL0063,"MEG-3 (EPA3E1610) Fish Oil 36% EE EPA, 27% EE DHA",Fat/Facid,29.42,kg
RWL0066,Extra Virgin Olive Oil,Oils,10.6,kg
RWL0068,Lutemax 20/20 Oil Suspension (2020-OS-20),Oils,355,kg
RWL0070,Borage Oil 20% GLA,Oils,36.6,kg
RWL0072,Sunflower Seed Oil,Oils,2.9,kg
RWL0073,Fish Oil EE3322 (OE3322A1) Golden Omega,Oils,31,kg
RWL0076,LYC-O-MATO 15% OIL (Lycopene)(Tomato),Oils,722,kg
RWL0084,Black Currant Oil (14% GLA),Oils,18.8,kg
RWL0085,Lipowheat Oil TM,Oils,360,kg
RWL0089,Krill Oil (K-Real 3316F),Oils,110,kg
RWL0090,Astaxanthin 10% (Astareal L10),Nutrition,1300,kg
RWL0096,Sunflower Lecithin Oil (E322)ALCOLEC HL,Oils,6.7,kg
RWL0102,MenaQ7 Vitamin K2 as MK-7 Oil,Oils,375,kg
RWL0103,COVI-OX T-90 EU,Oils,200.57,kg
RWL0104,"Carob Extract, Natural",BotExtract,15.93,kg
RWL0105,Advasterol Ester IP 28% Beta Sitosterol,Fat/Facid,38,kg
RWL0106,"Sharp PS  20D-RUR Phosphatidyl Blend with 20% Phosphatidylserine, 5% Phosphatidylcholine, 0.5% Phosphatidylethanolamine, and 0.3% Phosphatidylinositol. (Customer Specified)",Fat/Facid,160,kg
RWL0107,Salmon Oil 18% EPA/12% DHA,Oils,18.55,kg
RWL0108,Canola Oil,Oils,2.75,kg
RWL0109,HI Linoleic Safflower Oil C18:2 (71-84%),Oils,4.96,kg
RWL0110,Soybean OilL RBD (Non- GMO),Oils,3.92,kg
RWL0111,Solasta Astaxanthin 5%,Nutrition,299,kg
RWL0114,Astapure 20% Nat Astaxanthin Oleoresin,Nutrition,2280,kg
RWL0115,SBDS Caramel Color (Liquid),Color,4.28,kg
RWL0117,Solutex5713 (Omega 3 Fatty Acids Ee),Fat/Facid,42.25,kg
RWL0119,"SUNE900 Natural Vitamin E (Mixed Tocoph), non GMO",Vitamin,140,kg
RWL0120,Fish Oil 500/200 TG RFISO045,Oils,44,kg
RWL0123,Black Cumin Seed Oil Virgin,Oils,17.9,kg
RWL0129,Sorbex 70 Sorbitol Solution USP/FCC Non-GMO IP,Nutrition,2.47,kg
RWL0200,"AlaskOmega  EE 400300 M (EPA 400mg/g, DHA 300mg/g, Total Omega-3's 750mg/g)  MSC Certified",Fat/Facid,32,kg
RWL0201,AlaskOmega Fish Oil,Fat/Facid,7.8,kg
RWL0202,"Organic Evening Primrose Oil (9% GLA, 68% Linoleic, 5% oleic)",Fat/Facid,33.6,kg
RWL0203,Natural Strawberry Flavor Oil Soluble (87.168DF),Flavor,26.24,kg
RWL0204,AHIFLOWER   Seed Oil (Buglossoides arvensis),Fat/Facid,31,kg
RWL0205,"Cod Liver Oil (500,000 IU/g Vit. A)",Vitamin,102.75,kg
RWL0206,"Fish Liver Oil (450,000 IU/g Vit. D)",Vitamin,1919.3,kg
RWL0207,Broccoli Seed Oil (Brassica Oleracea) NatureFresh-Cold Pressed,Fat/Facid,18.92,kg
RWL0208,Hi-Omega-7 Sea Buckthorn (Hippophae rhamnoides L.) Berry Oil,Fat/Facid,165,kg
RWL0209,Raspberry Seed Oil (Rubus idaeus) - Virgin,Fat/Facid,45,kg
RWL0210,Avocado Oil,Fat/Facid,10.5,kg
RWL0211,"Cod Liver Oil (Vit A 1000 IU/g, Vit. D 100 IU/g, EPA 110mg/g, DHA 100mg/g, Total Omega-3 240mg/g)",Fat/Facid,20,kg
RWL0212,VESIsorb CoQ10 20% Pre-Fill #431,Excipient,170,kg
RWL0213,Pomegranate Seed Oil,Fat/Facid,29.78,kg
RWL0214,AlaskOmega  EE 100500 M (300111),Fat/Facid,28,kg
RWL0215,"Omegatex0070 (as EE: EPA 3mg/g, DHA 700mg/g, Total Omega-3 750mg/g) (FOS)",Fat/Facid,53.8,kg
RWL0216,"Omegatex5520 (EPA 550mg/g, DHA 200mg/g, Total Omega-3's 800mg/g) FOS",Fat/Facid,53.94,kg
RWL0217,Sharp PS  Green Phoshatidylserine 18% (From Sunflower Lecithin),Nutrition,180,kg
RWL0218,"VivoMega Premium Fish Oil (TG) 400mg/g EPA, 300 mg/g DHA, 750 mg/g total Omega-3, Wild-caught",Fat/Facid,40,kg
RWL0219,"Omega-3-Acid Ethyl Esters (EPA 400mg/g, DHA 300mg/g, Total Omega-3 Fatty acids 800mg/g)",Fat/Facid,44.5,kg
RWL0222,Green Lipped Extract Mussel Oil (Customer Specified),Fat/Facid,1800,kg
RWL0225,"Meg-3 2014TG Oil (EPA 180mg/g, DHA 120mg/g)",Animal,22,kg
RWL0226,AlphaXanthin Astaxanthin 5%,BotExtract,369,kg
RWL0228,OmiXan Meso-Zeaxanthin Oil Suspension 20%/SF (Customer Specified),BotExtract,840,kg
RWL0229,Organic Extra Virgin Olive Oil (Customer Specified),Excipient,11,kg
RWL0232,"FloraGLO  Lutein 20% SAF, Zeaxanthin 1% (safflower oil) (Customer Specified)",BotExtract,450,kg
RWL0233,AlaskOmega  Omega-7 500,Fat/Facid,45,kg
RWL0234,Organic Pumpkin Seed Oil (cold pressed virgin),BotExtract,13.5,kg
RWL0235,Rosemary Antioxidant Extract 25% Diterpenes,BotExtract,122.75,kg
RWL0236,Ginger CO2 Extract (Zingiber Officinalis) (Rhizome),BotExtract,255.35,kg
RWL0239,VegD3  1000M IU/g Oil,Vitamin,7600,kg
RWL0240,EVTene  Natural Mixed-Carotene Complex Oil 15% (Vit. A 180 M IU/g),Vitamin,175,kg
RWLC0230,"Omega-3, EPA 40%, DHA 20% (Customer Exclusive-Customer Supplied)",CustOwned,0,kg
RWLC0231,"Omgea-3 Triglycerides TG100500 (EPA 10%, DHA 50%) (Customer Supplied)  (Customer Exclusive)",CustOwned,0,kg
RWL0241,"LipidMarine Fish oil (EPA 100mg/g, DHA 500mg/g, Total Omega-3 640mg/g)",Fat/Facid,64.19,kg
R5813,Natural Cherry Strawberry Type Flavor Non-GMO 769009,Flavor,57.32,kg
R5814,Pomegranate Extract 60% polyphenols Pomma+,BotExtract,150,kg
R5824,Organic Beet Root Juice Powder,Botanical,13.5,kg
R5812,Organic Beet Root Powder,Botanical,8.2,kg
R5802,Vitamin B12 (cyanocobalamin 1%),Vitamin,85,kg
R5857,Beta Nicotinamide Mononucleotide (B-NMN) Powder 98%,Vitamin,142,KG
R5902,Bovine Collagen,Protein,13.75,KG
R5858,Organic Eldermune  Elderberry Fruit Powder,Botanical,130,KG
R5863,Natural Chocolate Flavor WONF MET0007280,Flavor,56.6,KG
R5892,Pea Protein 72% as-is,Protein,6.25,KG
R5878,Natural White Chocolate Peppermint Type Flavor 894.2170U,Flavor,46.56,KG
R5873,Prohydrolase  Protease Enzyme,Enzyme,120,KG
R5883,"Caronositol Fertility  Ratio 1:3.6 (21.43% Caronositol, 78.57% Myo-inositol)",Botanical,214,KG
R5861,Iron Bisglycinate,Mineral,17.95,KG
R5860,Chromium Chelate 10%,Mineral,52.09,KG
R5880,CELLg8 T (Turmeric root extract) 64% curcuminoids,BotExtract,197,KG
R5865,Natural Tangerine Flavor F150S007,Flavor,37.192,KG
R5864,Natural Tangerine Flavor RV74 #31716,Flavor,43.453,KG
R5874,ClearIQ A500 Specialty Flavor,Flavor,87.96,KG
R5881,CELLg8 C (ascorbic acid),Vitamin,123,KG
R5882,Fish Collagen Peptide Type-S,Protein,42,KG
R5879,Natural Vanilla Flavor WONF 100458,Flavor,31.85,KG
R5869,Himalayan Pink Salt Ancient Ocean,Mineral,5.688,KG
R5870,Natural Raspberry Flavor MTP00450,Flavor,26.5,KG
R5876,Natural Pumpkin Pie Flavor 10MS814859,Flavor,66.624,KG
R5875,Natural Pumpkin Spice Type Flavor 903.0117U,Flavor,125.88,KG
R5790,Organic Rosemary Extract (Rosmarinus officinalis) (leaf) (std. to 10% Rosmarinic acid),BotExtract,65,KG
R5884,Chromium Amino Acid Chelate 2.5% Cr,Mineral,40.98,KG
R5862,Sugar Beet Fiber,Fiber,30,KG
R5839,Natural and Artificial Fruit Punch Flavor ZE46696,Flavor,44.78,KG
R5848,Natural Vanilla Flavor WONF A19-002220,Flavor,57.28,KG
R5799,Organic beef bone broth granular,Animal,60,KG
R5800,UC-II  made with Organic Collagen,Protein,3675,KG
R5849,Natural Sour Candy Type Flavor A19-002219,Flavor,41.8,KG
R5789,Organic Par Actin Andrographis paniculata Leaf Extract (Bioactive 14-Neo-Andro Compound),BotExtract,310,KG
R5859,"Organic NutraPress CF (granular) (organic tapioca maltodextrin, organic gum Arabic)",Excipient,16,KG
R5809,"Organic Storg-B's (B-Complex from guava leaves, holy basil extract, lemon peel extract)",Vitamin,130,kg
R5818,Organic Storg-I (Iron from curry leaf) 3.6%,Mineral,160,kg
R5806,"Organic Aquamin F (Calcium) (from Red Algae, Lithothamnion sp.) 32%",Mineral,12.45,kg
R5816,"Organic Storg-E (Vitamin E) (from Annatto Seed Extract, Bixa Orellana) 15%",Vitamin,120,kg
R5821,"Organic Storg-N (Niacin) (from Holy Basil Leaf Extract, Ocimum sanctum) 3.6%",Vitamin,110,kg
R5829,Organic Guar Gum TIC3500  FOOD ONLY,Fiber,16.094,kg
R5840,LipoSan Ultra  Chitosan 90%,Nutrition,49.8,kg
R5801,Nonfat Dry Milk Powder 34% low heat FOOD ONLY,Protein,2.745,KG
R5831,Organic Coconut Water Powder FOOD ONLY,Botanical,45.65,kg
RWL0243,"LipidMarine Fish Oil (EPA 300mg/g, DHA 200mg/g, Total Omega-3 600mg/g)",Fat/Facid,32.35,KG
RWL0242,"LipidMarine 110/430 Fish oil (EPA 110mg/g, DHA 430mg/g, Total Omega-3 580mg/g)",Fat/Facid,48,KG
R5896,Natural Chocolate Flavor WONF 769013 FOOD ONLY,Flavor,27.56,KG
R5897,Natural Chocolate Type Flavor 769014 FOOD ONLY,Flavor,45.08,KG
R5895,Organic Salted Caramel Type Flavor 769011 FOOD ONLY,Flavor,52.734,KG
RW5609,Ubiquinol 96%,Nutrition,1500,KG
R5901,Natural Vanilla Type Flavor 926.3012U FOOD ONLY,Flavor,47.756,KG
R5904,Natural Black Tea Flavor WONF SD A19-002393,Flavor,75.95,KG
R5899,ModCarb Grain Blend (Gluten Free) N841.1 FOOD ONLY,Fiber,13.94,KG
R5905,Medium Chain Triglycerides MCT Powder 50% - VENDOR EXCLUSIVE,Fat/Facid,12,KG
R5914,Natural Flavor Powder OZ54 FOOD ONLY,Flavor,32.981,KG
R5906,"VegD3 100,000 IU/g powder organic",Vitamin,790,KG
R5915,Natural Chocolate Coffee Flavor WONF UE31 FOOD ONLY,Flavor,33.929,KG
R5907,Natural Cream Type Flavor CF-3100583 FOOD ONLY,Flavor,11.25,KG
R5911,Organic Vanilla Extract Powder W1364B,Flavor,51.24,KG
R5989,Natural Caramelized Onion Flavor 941.0188U,Flavor,57.48,KG
R5921,AlphaSize  Alpha Glyceryl Phosphoryl Choline Alpha GPC,Nutrition,197.2,KG
R5992,Natural Vegetable Boullion Flavor 949.0430U,Flavor,80.491,KG
R5994,Natural Vegetable Flavor MTP00571,Flavor,58,KG
R5993,Natural Onion Flavor 941.015OU,Flavor,45.99,KG
R5995,Natural Ginger Flavor WONF A19-002119,Flavor,53.01,KG
R5957,"Catalase 100,000 U/GM",Enzyme,561.65,KG
R5956,Calcium Succinate USP 23% Ca,Mineral,16.931,KG
R5922,Lyc-O-Beta  S Beta Carotene Beadlets 10%,Vitamin,164,KG
R5960,Natural and Artificial Fruit Punch Flavor 852.2342U,Flavor,29.1,KG
R5948,Natural and Artificial Cherry Jolly Rancher Type Flavor CI-CH-21757,Flavor,20.37,KG
R5910,Organic Black Pepper Extract 4:1,BotExtract,74,KG
R5942,Natural Masking Flavor N-Capture U_0019614,Flavor,19.92,KG
R5932,Citrus Bioflavanoids Fruit Extract 50%,BotExtract,20,KG
R5977,Fo-Ti Extract 35:1,BotExtract,22.8,KG
R5926,Beet Root Extract 25% betaine nitrate,BotExtract,77.75,KG
R5958,LongJaX  Eurycoma logifolia Jack 20:1 Extract,BotExtract,380,KG
R5964,Organic Tart Cherry Powder,Botanical,52.25,KG
R6002,Natural Masking Type Flavor 58011185,Flavor,41.667,KG
R6004,Natural Berry Type Flavor 09043204,Flavor,51.037,KG
R6006,Cognizin  (Citicoline),Nutrition,252,KG
R5951,Extramel  M SOD (Super Oxide Dismutase),BotExtract,2900,KG
R5986,Creatine HCl Con-Cret ,AminoAcid,22,KG
R5963,Organic Green Gummy Blend,Botanical,26.57,KG
R5962,Organic Red Gummy Blend,Botanical,32.54,KG
R5927,Zinc Orotate 15%,Mineral,49.51,KG
R6019,Natural Orange Flavor WONF PU30,Flavor,41.56,KG
R5939,"Enzyme Blend (Protease, Cellulase Serratiopeptidase)",Enzyme,38.5,KG
R5965,Peptidase Maltase Enzyme Blend,Enzyme,59,KG
R5938,Saccharomyces Boulardii HS5 20B CFU/g,Probiotic,110,KG
R5999,Berberine HCl 97%,BotExtract,97,KG
R5967,Goji Extract (Lycium barbarum) (fruit) (std. to 40% polysaccharides),BotExtract,22.8,KG
R6012,Coconut Milk Cream Powder 26% Fat 15% MCTs,Fat/Facid,18.629,KG
R6009,Ginger Root Powder,Botanical,10,KG
R6026,Muscadine Grape Seed Powder,Botanical,31,KG
R6025,Natural Kiwi Flavor WONF SY14,Flavor,41.777,KG
R5990,Dried Beef Stock Powder 90%,Protein,12.99,KG
R6007,Hibiscus Flower Powder,Botanical,13,KG
R6018,Vitamin C Ascorbic Acid 99% Crystalline CUSTOMER EXCLUSIVE,Vitamin,4.65,KG
R5937,Bifidobacterium Longum BL21,Probiotic,214,KG
R5934,Isatis indigotica Root Extract,BotExtract,33,KG
R6000,Magnolia Bark Extract EC332962,BotExtract,24.6,KG
R6008,Peppermint Leaf Powder,Botanical,12,KG
R5998,Solarplast  Spinach Leaf,Botanical,575,KG
R5997,Yeast Hydrolysate DNF-10,Nutrition,213.4,KG
R6037,PurCaf Organic Caffeine,BotExtract,140,KG
RW5610,Alpha Lipoic Acid Powder 99%,AminoAcid,53,KG
R6016,"Collavant  n2 (undenatured) Type II Collagen (total collagen 25%, native type II collagen 4%)",Nutrition,1700,KG
RW5611,IMWITOR  900 K Powder (Glycerol Monostearate),Fat/Facid,13.51,KG
R5928,Chinese Skullcap Extract 10% Baicalin (Scutellaria baicalensis),BotExtract,16.5,KG
RW5616,"L-5-Methyltetrahydrofolate, Calcium",Vitamin,2200,KG
R6041,InnovaBean Natural Caffeine from Green Coffee Bean,BotExtract,90,KG
RW0225,Ferrous Fumarate 31.4%,Mineral,8.3,KG
RW5612,Copper Amino Acid Chelate 10%,Mineral,79.89,KG
RW0068,"Potassium Iodide 99% (74.92% Iodine, 23.3% Potassium)",Mineral,81.019,KG
R6036,Alfalfa Herb Powder ID UHD (S) (high density),Botanical,8.45,KG
RWL0248,USPlus  Saw Palmetto Extract (85-95% fatty acids),BotExtract,262.5,KG
RW5615,Boron Amino Acid complex (Glycinate) 10%,Mineral,72.54,KG
R6040,Natural Mandarin Flavor WONF MTP00501,Flavor,45.8,KG
R6039,Natural Pineberry Type Flavor 944.2726U,Flavor,58.09,KG
R5959,Pro-Tribulus  400 Tribulus Extract Protodioscin 40% HPLC,BotExtract,217,KG
R6033,Avocado Green Color Powder AAA2171,Color,135.01,KG
R6042,Natural Tropical Fruit Punch Mango Flavor WONF 92.7204SD,Flavor,38.58,KG
R5929,Coptis chinensis Root Extract,BotExtract,60,KG
RW5613,Pine Bark Extract,BotExtract,35.5,KG
RW5617,Candelilla Wax Granules,Excipient,25.69,KG
RW5614,Nettle Leaf Powder,Botanical,14.5,KG
RWL0249,Fish Oil 180EPA/120DHA TG Concentrate Low Cholesterol,Fat/Facid,28.15,KG
R5949,Gynostemma Pentaphyllum Extract 20% Gypenosides UV,BotExtract,32,KG
R6055,Natural Orange Cream Type Flavor 884.2914U,Flavor,42.39,KG
R6060,Natural French Vanilla Type Flavor 2X 91073214,Flavor,76.83,KG
R6056,Natural Optify  Taste Modifier Flavor 936.4161U,Flavor,89.75,KG
RW5618,Fish Gelatin 210 Bloom,Excipient,28.43,KG
R6069,Natural Vanilla Flavor WONF ZE15717,Flavor,68.51,KG
R6190,"Vitamin A Palmitate 250,000 UI/g",Vitamin,50,KG
R6192,Sodium Selenite 45% Se,Mineral,175,KG
R6194,"Organic Spinach Powder, Spinacia oleracea",Botanical,11.75,KG
R6208,Gum Acacia (Gum Arabic),Fiber,9.5,KG
R6196,Ascorbic Acid 99% Vitamin C,Vitamin,5.65,KG
R6204,Vitamin B12 Cyanocobalamin 0.1% on Mannitol,Vitamin,31,KG
R6195,Whey Protein Isolate Instantized 85.5% as is with soy lecithin Provon 292,Protein,10.14,KG
R6209,Natural Vanillin Flavor R000037,Flavor,130.027,KG
R6203,Natural Bitter Blocker Flavor 22163,Flavor,20.062,KG
R6207,"Stevia Leaf Extract Rebaudioside A 99%, Good&Sweet ",BotExtract,138,KG
R6210,Natural Butter Buds Flavor 32X 38162,Flavor,7.496,KG
R6215,Resveratrol (Japanese knotweed) Extract Powder 50%,BotExtract,75,Kg
R6216,Resveratrol (Japanese knotweed) Extract Granular 98%,BotExtract,262,Kg
R6217,Oregon Grape Root (Berbaris aquifolium) Powder,Botanical,27.072,Kg
R6230,Natural Mocha Flavor WONF S059507,Flavor,48.23,kg
R6229,"Tilactase 100,000 FCC LU/g",Enzyme,295,Kg
R6135,Cassava Starch powder,Excipient,7.606,Kg
R6228,Longjack Root Extract (0.8% Eurycomanone),BotExtract,132,Kg
R6235,Natural Pear Flavor WONF A19-002254,Flavor,47.73,kg
R6295,Natural Vanilla Flavor WONF 926.4543U,Flavor,68.48,kg
R6296,Natural Prickly Pear Type Flavor ZA15,Flavor,50.154,kg
R6299,AquaPolish F White 019.182 MS,Coating,39.5,Kg
R6267,NuBana  Green Banana Resistant Starch,Fiber,19.65,kg
R6264,"Avocado Oil Powder 50%, Non-GMO",Fat/Facid,24.25,Kg
R6265,Organic Ashwagandha Powder,Botanical,14.25,Kg
R6297,Brown Seaweed Extract (10% Fucoxanthin),BotExtract,45,Kg
RWL0264,Conjugated Linoleic,Oils,9.3,Kg
RW0587,Bioperine (Black Pepper Extract NLT 95%),BotExtract,510,Kg
RWL0265,Pomegranate Seed oil 70% Punicic acid,BotExtract,44.9,Kg
R6424,D-Alpha Tocopherol Acetate 700IU/g (RMD04)-Customer Exclusive,Vitamin,61.5,kg
R6309,Rosemary Leaf Extract 2.5% Rosmarinic Acid,BotExtract,21,kg
R6276,Organic Acerola Extract (17% Vitamin C),BotExtract,28.3,kg
R6305,Echinacea Angustifolia Root powder,Botanical,19,Kg
R6315,HiActives  Soy Isoflavones 80% # N114,BotExtract,425,Kg
R6304,Ivy leaf extract,Botanical,23,Kg
R6306,Red Wine Fruit Extract,BotExtract,34,kg
R6308,Organic Berberine HCl 97%,BotExtract,149,Kg
R6303,Organic Chaga Powder,Fungi,39,Kg
R6274,"Alpha Galactosidase 10,000 GALU/GM",Enzyme,234.62,kg
R6273,Organic Holy Basil Leaf Powder,Botanical,14,kg
R6234,Natural Mixed Berry Flavor BE-23045,Flavor,38.01,kg
R6310,Artichoke Leaf Extract 4:1,BotExtract,18,kg
R6314,Logifiber  Soluble Prebiotic Fiber 89% as is/Logifiber  Corn Resistant Dextrin Powder (customer specified),Fiber,5.95,kg
R6319,Organic Maitake Mushroom Powder,Botanical,45.12,kg
R6432,Stearic Acid Food Grade Powder (RMS05)-Customer Exclusive,Excipient,4.96,kg
RW5628,Cupric Oxide Powder NLT 76% Cu,Mineral,116.16,Kg
RW5627,ZINC OXIDE (ZnO)  GRADE: CR4-USP5 (Product Code: ZNOUS5),Mineral,11.02,Kg
R6316,Natural Bacon Type Flavor 948.0163U,Flavor,48.417,kg
R6318,Natural L-Theanine 20% (from green tea),BotExtract,56,Kg
R6322,Natural Chocolate Flavor WONF 10LS836177,Flavor,14.26,kg
R6312,Pantesin  Pantethine HF55,Vitamin,190,kg
R6232,Natural Ataulfo Mango Type Flavor 870.2354U,Flavor,39.771,kg
R6236,Magnesium Gluconate 5.3% Mg (Vegan),Mineral,7.89,kg
R6249,Orgen-BT  (Organic Annatto Extract for 4% Beta carotene),BotExtract,155,kg
R6238,Beet Juice Color 2749,Color,33.069,kg
R6237,Calcium Bisglycinate 19% Ca,Mineral,21.5,kg
R6239,L-Glutamine 98% (Vegan),AminoAcid,10.5,kg
R6278,S.D. Beef Liver Powder,Animal,33,Kg
R6279,S.D. Pork Liver Powder,Animal,40,Kg
R6280,Kidney Substance (bovine),Animal,165,Kg
R6282,Heart Substance (bovine),Animal,175,Kg
R6281,Spleen substance (bovine),Animal,140,Kg
R6246,Zeofree  600 Precipitated Calcium Silicate,Excipient,17.12,kg
R6259,Copper Bisglycinate 26% Cu (Vegan),Mineral,80,kg
R6255,Aquacelle  Algal DHA Powder,Fat/Facid,240,kg
R6253,Bromelain 600GDU/G,Botanical,49.13,kg
RWL0261,Advasterol S Plant Sterols (from Sunflower),Nutrition,38,Kg
R6251,Vine Tea Leaf extract (std to Myricetin 90%),BotExtract,350,Kg
R6261,Hydroxocobalamin HCl 96%,Vitamin,6960,Kg
R6252,Kaempferol 90%,BotExtract,780,Kg
R6275,Organic Bilberry Fruit Powder,Botanical,29,kg
R6284,Natural Berry Citrus Flavor WONF ZE78725,Flavor,56.94,kg
R6285,Natural Acai Blueberry Pomegranate Flavor WONF ZE78716,Flavor,93.9,kg
R6270,Organic Dandelion Leaf Powder,Botanical,10,kg
R6271,Organic Parsley Leaf Powder,Botanical,19,kg
R6241,Magnesium Acetyl Taurinate 6.5% Mg,Mineral,135,kg
R6240,L-Theanine 98% (Vegan),AminoAcid,30,kg
R6258,Boron Glycinate 5% B (Vegan),Mineral,39,kg
R6248,"Orgen-B s  (Blend of Guava, Holy Basil & Lemon extracts (Vitamin B Blend)",BotExtract,231,kg
R6233,Organic Watermelon Flavor WONF 929.0543U,Flavor,70.74,kg
R6283,F.D. Pancreas substance (bovine),Animal,165,Kg
R6243,Luo Han Guo 25% (Monk Fruit Extract) Organic,BotExtract,215,kg
R6242,Trimagnesium Citrate 15% Mg,Mineral,13.5,kg
R6245,Cereboost  American ginseng (Panax quinquefolius L.) Root Extract,BotExtract,316.25,kg
R6244,Linablue  Spirulina Extract,Color,265,kg
R6402,Ticaxan  Xanthan Gum,Fiber,27.549,kg
RWL0271,Omega-3 Acid Triglycerides TG400300,Fat/Facid,58.5,kg
R6407,N-Acetyl-Glucosamine 98%,Nutrition,29,kg
R6405,Zinc Carnosine 20% Zn,Mineral,390,kg
R6412,Natural Astaxanthin Complex 4.0% powder,BotExtract,745,kg
R6377,Organic Psyllium Husk Powder 95%,Fiber,14.3,kg
R6382,Organic Green Banana Powder,Fiber,9.52,kg
R6384,Organic Coconut Milk Powder,Food,12.9,kg
R6408,Kwao Krua Root Extract (Pueraria Mirifica 4:1),BotExtract,62,kg
R6380,Organic Coconut Sugar,Excipient,5.512,kg
R6418,Sorbitol Granular (RMS03)-Customer Exclusive,Excipient,2.15,kg
R6420,Microcrystalline Cellulose (MCC) USP(RMA10)-Customer Exclusive,Excipient,4.2,kg
R6425,Iron Glycinate Chelate TF 80 Mesh (RMI02)-Customer Exclusive,Mineral,60.71,kg
R6449,Potassium Iodide USP,Mineral,164.16,kg
R6385,Organic Toasted Pumpkin Seed Protein 54% as-is,Protein,8.87,kg
R6388,Organic Cacao Powder 10-12%,Botanical,13.58,kg
R6387,Organic Vanilla Extract Powder,Flavor,169,kg
R6416,Dimagnesium Malate Granular 20% Mg (RMD09)-Customer Exclusive,Excipient,16.85,kg
R6415,Grape Skin Extract (RMG07)-Customer Exclusive,BotExtract,65,kg
R6443,Magnesium Stearate USP NF FCC (RMM02)-Customer Exclusive,Excipient,5.865,kg
R6456,Instant Whey Protein Isolate 83.7% as-is with sunflower lecithin,Protein,21.495,kg
R6457,Natural Masking Flavor Type MET0014143,Flavor,35.9,kg
R6454,Pea Protein 75% as-is,Protein,5.5,kg
R6414,Dicalcium Phosphate Anhydrous Granular (RMD10)-Customer Exclusive,Excipient,5.69,kg
R6438,Manganese Gluconate 6485-39-8 (RMM03)-Customer Exclusive,Mineral,26.5,kg
R6437,L-Selenomethionine 5000 mcg/g(RML03)-Customer Exclusive,AminoAcid,84,kg
R6428,Magnesium Oxide Granular (RMM09)-Customer Exclusive,Excipient,5.25,kg
R6429,Sucrose (RMS37)-Customer Exclusive,Nutrition,1.92,kg
R6433,Citric Acid Anhydrous USP/FCC Fine Granular (RMC07)-Customer Exclusive,Excipient,2.75,kg
R6441,Silicon Dioxide USP (RMS01)-Customer Exclusive,Excipient,12.02,kg
R6446,Xylitol,Nutrition,4.59,kg
R6430,FN-RMP14 Natural Peach Flavor WONF 3220132571.00 - Customer Exclusive,Flavor,34.26,kg
R6448,Zinc Glycinate Chelate TF 10% Zn,Mineral,23.42,kg
R6439,Copper Gluconate (527-09-3) (RMC08)-Customer Exclusive,Mineral,22.75,kg
R6440,Ferrous Fumarate (RMF01)-Customer Exclusive,Mineral,8.3,kg
R6447,Sucralose,Nutrition,23.9,kg
R6375,TENDOFORTE  Bioactive Collagen Peptides,Protein,21.4,kg
RWL0266,Omega 3 fish oil 400/300 TG,Fat/Facid,43.99,kg
R6371,Lutein 10% & Zeaxanthin 2% Beadlets  InnoBio ,Nutrition,185,kg
RWL0267,Omega 3 fish oil 500/250 TG,Fat/Facid,25.8,kg
R6373,Choline (stabilized orthosilicic acid),AminoAcid,215,kg
R6372,Volactive  UltraWhey 90 Instant Whey Protein Isolate 84.6% as-is with Sunflower Lecithin,Protein,18.739,kg
RWL0268,Ultrabix Annatto Suspension 8% (in sunflower oil),Color,90.61,kg
R6381,Magnesium Glycinate 19% Mg,Mineral,11,kg
